City_ID,Date,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,2022-07-13 00:41:25,Russell,US,32.3502,-85.1999,79.02,94,0,4.61
150,2022-07-13 00:41:25,Jakar,BT,27.5492,90.7525,62.65,87,100,1.54
151,2022-07-13 00:41:26,Necochea,AR,-38.5473,-58.7368,46.11,52,72,16.11
152,2022-07-13 00:39:09,Pingliang,CN,35.5392,106.6861,67.14,90,100,1.36
153,2022-07-13 00:40:02,Lompoc,US,34.6391,-120.4579,82.78,75,0,16.11
154,2022-07-13 00:41:26,Piney Green,US,34.716,-77.3202,82.58,83,40,8.05
155,2022-07-13 00:41:26,Bara,NG,10.3744,10.7288,75.45,84,100,10.13
156,2022-07-13 00:40:22,Beckley,US,37.7782,-81.1882,67.32,97,0,8.05
157,2022-07-13 00:41:27,Puerto El Triunfo,SV,13.2833,-88.55,86.92,80,72,2.26
158,2022-07-13 00:41:27,La Ronge,CA,55.1001,-105.2842,80.82,36,20,8.05
159,2022-07-13 00:40:20,Xichang,CN,27.8964,102.2634,73.45,80,100,1.41
160,2022-07-13 00:41:27,Khatanga,RU,71.9667,102.5,38.75,84,100,11.07
161,2022-07-13 00:41:27,Neuquen,AR,-38.9516,-68.0591,48.09,49,0,0.0
162,2022-07-13 00:41:28,Belyy Yar,RU,53.6039,91.3903,62.49,67,0,17.9
163,2022-07-13 00:41:28,Mumbwa,ZM,-14.9783,27.0619,61.18,50,91,8.1
164,2022-07-13 00:41:28,Devesel,RO,44.4689,22.6672,56.05,56,38,5.35
165,2022-07-13 00:41:28,Aitape,PG,-3.1374,142.3475,86.04,62,68,2.26
166,2022-07-13 00:41:29,Palu,ID,-0.8917,119.8707,77.11,94,100,3.0
167,2022-07-13 00:36:41,Ancud,CL,-41.8697,-73.8203,39.22,77,58,9.8
168,2022-07-13 00:37:46,Pangnirtung,CA,66.1451,-65.7125,47.08,93,100,2.68
169,2022-07-13 00:41:29,Miramar,US,25.9873,-80.2323,88.0,73,0,10.36
170,2022-07-13 00:41:29,Bloemfontein,ZA,-29.1211,26.214,29.68,80,0,1.14
171,2022-07-13 00:41:30,Visnes,NO,59.3556,5.2242,59.22,82,20,8.05
172,2022-07-13 00:41:30,Henties Bay,NA,-22.116,14.2845,54.16,89,0,3.47
173,2022-07-13 00:41:30,Nalut,LY,30.3333,10.85,79.83,31,0,10.69
174,2022-07-13 00:41:30,Axim,GH,4.8699,-2.2405,74.93,81,100,8.75
175,2022-07-13 00:41:31,Iquitos,PE,-3.7481,-73.2472,77.04,83,40,4.61
176,2022-07-13 00:41:31,Havelock,US,34.8791,-76.9013,82.94,90,90,4.0
177,2022-07-13 00:40:23,Geraldton,AU,-28.7667,114.6,55.81,71,98,8.05
178,2022-07-13 00:41:31,Ugoofaaru,MV,5.6667,73.0,81.79,75,99,12.33
179,2022-07-13 00:41:31,San Cristobal,VE,7.7669,-72.225,69.98,97,73,4.32
180,2022-07-13 00:41:32,Silver City,US,32.7701,-108.2803,86.02,26,62,1.99
181,2022-07-13 00:41:11,Grindavik,IS,63.8424,-22.4338,46.35,87,40,6.91
182,2022-07-13 00:41:32,Angatuba,BR,-23.4897,-48.4128,58.77,94,100,8.41
183,2022-07-13 00:42:32,Richards Bay,ZA,-28.783,32.0377,62.82,91,0,7.0
184,2022-07-13 00:42:32,Laguna,US,38.421,-121.4238,100.45,28,0,19.57
185,2022-07-13 00:42:33,Saint George,US,37.1041,-113.5841,106.39,12,0,6.91
186,2022-07-13 00:42:33,Torbay,CA,47.6666,-52.7314,60.28,90,20,13.8
187,2022-07-13 00:42:33,Mindelo,CV,16.8901,-24.9804,76.55,73,20,12.66
188,2022-07-13 00:39:15,Wakkanai,JP,45.4094,141.6739,64.38,94,75,6.91
189,2022-07-13 00:42:34,Mehamn,NO,71.0357,27.8492,66.15,63,100,11.5
190,2022-07-13 00:42:34,Bambous Virieux,MU,-20.3428,57.7575,69.22,66,81,13.2
191,2022-07-13 00:42:34,Satipo,PE,-11.2522,-74.6386,69.4,94,68,2.37
192,2022-07-13 00:38:09,Golden,US,39.7555,-105.2211,84.49,36,34,5.68
193,2022-07-13 00:42:34,Ayios Serafim,GR,38.8,22.7,76.82,70,54,2.46
194,2022-07-13 00:38:43,Maceio,BR,-9.6658,-35.7353,74.64,88,75,4.61
195,2022-07-13 00:42:35,Te Anau,NZ,-45.4167,167.7167,39.45,98,100,2.35
196,2022-07-13 00:42:35,Anloga,GH,5.7947,0.8973,75.83,82,79,11.32
197,2022-07-13 00:42:35,Bhadra,IN,29.1167,75.1667,88.68,63,1,10.96
198,2022-07-13 00:42:36,Temiscaming,CA,46.7212,-79.0971,71.15,60,50,3.44
199,2022-07-13 00:42:36,Constitucion,CL,-35.3333,-72.4167,49.46,82,39,6.91
200,2022-07-13 00:42:36,Alugan,PH,12.2188,125.4808,82.8,79,22,2.37
201,2022-07-13 00:42:36,Port Blair,IN,11.6667,92.75,82.02,82,100,19.82
202,2022-07-13 00:42:37,Inhambane,MZ,-23.865,35.3833,67.21,75,0,5.86
203,2022-07-13 00:42:37,Bredasdorp,ZA,-34.5322,20.0403,46.94,90,2,5.01
204,2022-07-13 00:42:37,Nizhneangarsk,RU,55.7833,109.55,52.61,84,77,3.78
205,2022-07-13 00:42:37,Kholm,RU,59.2667,32.85,57.97,99,23,4.88
206,2022-07-13 00:42:38,Baisha,CN,26.5222,110.9311,87.04,67,5,3.31
207,2022-07-13 00:42:38,Caravelas,BR,-17.7125,-39.2481,70.14,80,99,5.17
208,2022-07-13 00:42:38,Kavieng,PG,-2.5744,150.7967,84.67,68,13,9.42
209,2022-07-13 00:42:38,Vaini,TO,-21.2,-175.2,80.76,74,20,8.05
210,2022-07-13 00:42:39,Fort Nelson,CA,58.8053,-122.7002,67.59,37,75,3.44
211,2022-07-13 00:42:39,Christchurch,NZ,-43.5333,172.6333,57.4,58,100,4.61
212,2022-07-13 00:42:39,Barentu,ER,15.1139,37.5928,70.65,76,100,4.94
213,2022-07-13 00:42:39,Mushie,CD,-3.0167,16.9,76.28,50,84,2.75
214,2022-07-13 00:42:40,Totoral,PE,-17.4053,-70.365,56.52,43,70,1.99
215,2022-07-13 00:42:40,Vestmannaeyjar,IS,63.4427,-20.2734,47.84,76,58,22.26
216,2022-07-13 00:42:40,Dayong,CN,25.0209,118.2898,87.58,66,1,2.37
217,2022-07-13 00:42:40,Flin Flon,CA,54.7682,-101.865,77.79,37,62,5.01
218,2022-07-13 00:42:41,Cork,IE,51.898,-8.4706,55.17,82,75,18.41
219,2022-07-13 00:42:41,Kalulushi,ZM,-12.8378,28.0919,52.0,78,68,4.34
220,2022-07-13 00:39:29,Thunder Bay,CA,48.4001,-89.3168,62.51,67,75,2.3
221,2022-07-13 00:42:41,Port Lincoln,AU,-34.7333,135.8667,56.64,61,100,8.5
222,2022-07-13 00:42:42,Lufilufi,WS,-13.8745,-171.5986,89.38,71,8,17.87
223,2022-07-13 00:42:42,Bafq,IR,31.6128,55.4107,78.12,17,0,5.84
224,2022-07-13 00:42:42,Seymchan,RU,62.8833,152.4333,89.08,39,69,16.33
225,2022-07-13 00:42:42,Meulaboh,ID,4.1363,96.1285,77.97,77,67,5.97
226,2022-07-13 00:42:43,Carnarvon,AU,-24.8667,113.6333,68.7,65,6,8.75
227,2022-07-13 00:42:43,Katsuura,JP,35.1333,140.3,76.37,91,80,6.6
228,2022-07-13 00:42:43,Ribeira Brava,PT,32.65,-17.0667,68.63,71,43,2.59
229,2022-07-13 00:43:43,Victor Harbor,AU,-35.5667,138.6167,55.0,76,100,9.48
230,2022-07-13 00:43:44,Huarmey,PE,-10.0681,-78.1522,62.13,82,0,8.88
231,2022-07-13 00:43:44,Sorland,NO,67.667,12.6934,53.46,94,100,17.96
232,2022-07-13 00:43:44,Antigonish,CA,45.6169,-61.9986,64.15,79,7,5.99
233,2022-07-13 00:43:44,Itoman,JP,26.1247,127.6694,90.37,77,20,6.91
234,2022-07-13 00:43:45,Luena,AO,-11.7833,19.9167,53.17,50,0,4.61
235,2022-07-13 00:43:45,Naze,JP,28.3667,129.4833,85.12,80,100,7.49
236,2022-07-13 00:43:45,Baiao,BR,-2.7906,-49.6717,75.29,85,95,2.46
237,2022-07-13 00:43:45,Kavaratti,IN,10.5669,72.642,81.1,79,100,20.74
238,2022-07-13 00:43:46,Kholtoson,RU,50.2981,103.3097,67.28,50,6,2.42
239,2022-07-13 00:43:46,Mo I Rana,NO,66.3128,14.1428,57.33,94,100,0.0
240,2022-07-13 00:43:46,Garowe,SO,8.4054,48.4845,74.44,64,47,24.18
241,2022-07-13 00:43:47,Dalvik,IS,65.9702,-18.5286,44.53,95,100,6.31
242,2022-07-13 00:43:47,Rongcheng,CN,30.634,117.8517,92.14,57,100,3.51
243,2022-07-13 00:43:47,Bukama,CD,-9.2,25.85,67.26,42,0,2.53
244,2022-07-13 00:43:47,Sakakah,SA,29.9697,40.2064,89.17,19,92,9.06
245,2022-07-13 00:43:48,Aksarka,RU,66.5606,67.7975,54.64,84,100,7.54
